============================================================
DOMAIN_TRACKER
Exported: 2026-01-19T18:39:36.117Z
============================================================

Timestamp	Cycle	CIVIC	CRIME	TRANSIT	ECONOMIC	EDUCATION	HEALTH	WEATHER	COMMUNITY	NIGHTLIFE	HOUSING	CULTURE	SPORTS	BUSINESS	SAFETY	INFRASTRUCTURE	GENERAL	FESTIVAL	HOLIDAY	ARTS	ENVIRONMENT	TECHNOLOGY	DominantDomain	TotalEvents	Holiday	HolidayPriority	FirstFriday	CreationDay	SportsSeason	Notes
2025-12-29T23:23:23.226Z	41	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:23.364Z	40	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:23.602Z	41	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:23.839Z	42	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:24.058Z	43	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:24.298Z	44	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:24.537Z	46	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:24.804Z	46	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:25.039Z	47	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:25.296Z	48	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:25.523Z	49	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:25.772Z	50	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:26.007Z	51	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:26.259Z	52	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:26.495Z	53	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:26.741Z	54	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:26.988Z	55	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:27.248Z	57	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:27.501Z	60	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:27.734Z	62	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:28.009Z	63	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:28.574Z	64	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:28.787Z	65	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:29.014Z	66	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:29.270Z	67	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	WEATHER	1											
2025-12-29T23:23:29.512Z	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2										
2025-12-29T23:23:29.753Z	69	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	HEALTH	3											
2025-12-29T23:23:30.008Z	70	70	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	CIVIC	71											
2025-12-31T07:55:21.471Z	71	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	CULTURE	4	MothersDay	minor	false	false	early-season	
2025-12-31T23:00:44.344Z	72	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	GENERAL	3	none	none	false	false	early-season	
2026-01-05T09:48:58.985Z	73	3	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	0	CIVIC	10	MemorialDay	major	false	false	early-season	
2026-01-12T17:37:42.132Z	74	0	0	0	0	0	0	1	1	2	0	2	0	1	1	2	0	0	1	2	0	0	INFRASTRUCTURE	13	PrideMonth	cultural	true	false	mid-season	
2026-01-19T09:48:57.262Z	75	1	0	0	0	0	0	1	1	2	0	3	0	0	1	3	0	0	1	2	0	0	CULTURE	15	PrideMonth	cultural	true	false	mid-season	
